Connecting to host 10.1.1.3, port 5010
[  4] local 10.1.1.2 port 41286 connected to 10.1.1.3 port 5010
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   6.90-7.00   sec  2.50 MBytes   210 Mbits/sec    0    358 KBytes       
[  4]   7.00-7.10   sec  2.50 MBytes   210 Mbits/sec    0    363 KBytes       
[  4]   7.10-7.20   sec  3.75 MBytes   314 Mbits/sec    0    369 KBytes       
[  4]   7.20-7.30   sec  2.50 MBytes   210 Mbits/sec    0    375 KBytes       
[  4]   7.30-7.40   sec  2.50 MBytes   210 Mbits/sec    0    380 KBytes       
[  4]   7.40-7.50   sec  2.50 MBytes   209 Mbits/sec    0    387 KBytes       
[  4]   7.50-7.60   sec  3.75 MBytes   315 Mbits/sec    0    392 KBytes       
[  4]   7.60-7.70   sec  2.50 MBytes   210 Mbits/sec    0    399 KBytes       
[  4]   7.70-7.80   sec  3.75 MBytes   315 Mbits/sec    0    404 KBytes       
[  4]   7.80-7.90   sec  2.50 MBytes   210 Mbits/sec    0    410 KBytes       
[  4]   7.90-8.00   sec  3.75 MBytes   314 Mbits/sec    0    416 KBytes       
[  4]   8.00-8.10   sec  2.50 MBytes   210 Mbits/sec    0    421 KBytes       
[  4]   8.10-8.20   sec  3.75 MBytes   315 Mbits/sec    0    428 KBytes       
[  4]   8.20-8.30   sec  2.50 MBytes   210 Mbits/sec    0    433 KBytes       
[  4]   8.30-8.40   sec  3.75 MBytes   314 Mbits/sec    0    440 KBytes       
[  4]   8.40-8.50   sec  3.75 MBytes   315 Mbits/sec    0    445 KBytes       
[  4]   8.50-8.60   sec  2.50 MBytes   210 Mbits/sec    4    315 KBytes       
[  4]   8.60-8.70   sec  2.50 MBytes   210 Mbits/sec    0    324 KBytes       
[  4]   8.70-8.80   sec  2.50 MBytes   209 Mbits/sec    0    328 KBytes       
[  4]   8.80-8.90   sec  2.50 MBytes   210 Mbits/sec    0    335 KBytes       
[  4]   8.90-9.00   sec  2.50 MBytes   210 Mbits/sec    0    339 KBytes       
[  4]   9.00-9.10   sec  2.50 MBytes   210 Mbits/sec    0    346 KBytes       
[  4]   9.10-9.20   sec  2.50 MBytes   209 Mbits/sec    0    351 KBytes       
[  4]   9.20-9.30   sec  3.75 MBytes   315 Mbits/sec    0    358 KBytes       
[  4]   9.30-9.40   sec  2.50 MBytes   210 Mbits/sec    0    362 KBytes       
[  4]   9.40-9.50   sec  2.50 MBytes   209 Mbits/sec    3    256 KBytes       
[  4]   9.50-9.60   sec  1.25 MBytes   105 Mbits/sec    0    263 KBytes       
[  4]   9.60-9.70   sec  2.50 MBytes   211 Mbits/sec    0    269 KBytes       
[  4]   9.70-9.80   sec  2.50 MBytes   210 Mbits/sec    0    274 KBytes       
[  4]   9.80-9.90   sec  1.25 MBytes   104 Mbits/sec    0    280 KBytes       
[  4]   9.90-10.00  sec  2.50 MBytes   210 Mbits/sec    0    286 KBytes       
[  4]  10.00-10.10  sec  3.75 MBytes   314 Mbits/sec    0    297 KBytes       
[  4]  10.10-10.20  sec  5.00 MBytes   421 Mbits/sec    0    307 KBytes       
[  4]  10.20-10.30  sec  3.75 MBytes   315 Mbits/sec    0    317 KBytes       
[  4]  10.30-10.40  sec  2.50 MBytes   210 Mbits/sec    0    324 KBytes       
[  4]  10.40-10.50  sec  3.75 MBytes   313 Mbits/sec    0    329 KBytes       
[  4]  10.50-10.60  sec  2.50 MBytes   211 Mbits/sec    0    337 KBytes       
[  4]  10.60-10.70  sec  2.50 MBytes   210 Mbits/sec    0    342 KBytes       
[  4]  10.70-10.80  sec  2.50 MBytes   210 Mbits/sec    0    348 KBytes       
[  4]  10.80-10.90  sec  2.50 MBytes   210 Mbits/sec    0    354 KBytes       
[  4]  10.90-11.00  sec  2.50 MBytes   210 Mbits/sec    5    252 KBytes       
[  4]  11.00-11.10  sec  2.50 MBytes   210 Mbits/sec    0    257 KBytes       
[  4]  11.10-11.20  sec  1.25 MBytes   105 Mbits/sec    0    262 KBytes       
[  4]  11.20-11.30  sec  2.50 MBytes   210 Mbits/sec    0    269 KBytes       
[  4]  11.30-11.40  sec  2.50 MBytes   210 Mbits/sec    0    274 KBytes       
[  4]  11.40-11.50  sec  1.25 MBytes   105 Mbits/sec    4    194 KBytes       
[  4]  11.50-11.60  sec  1.25 MBytes   104 Mbits/sec    0    199 KBytes       
[  4]  11.60-11.70  sec  2.50 MBytes   210 Mbits/sec    0    205 KBytes       
[  4]  11.70-11.80  sec  1.25 MBytes   105 Mbits/sec    0    211 KBytes       
[  4]  11.80-11.90  sec  1.25 MBytes   105 Mbits/sec    0    216 KBytes       
[  4]  11.90-12.00  sec  1.25 MBytes   105 Mbits/sec    4    156 KBytes       
[  4]  12.00-12.10  sec  1.25 MBytes   105 Mbits/sec    0    161 KBytes       
[  4]  12.10-12.20  sec  1.25 MBytes   105 Mbits/sec    0    167 KBytes       
[  4]  12.20-12.30  sec  1.25 MBytes   105 Mbits/sec    0    173 KBytes       
[  4]  12.30-12.40  sec  1.25 MBytes   105 Mbits/sec    0    180 KBytes       
[  4]  12.40-12.50  sec  1.25 MBytes   105 Mbits/sec    0    184 KBytes       
[  4]  12.50-12.60  sec  2.50 MBytes   210 Mbits/sec    0    191 KBytes       
[  4]  12.60-12.70  sec  1.25 MBytes   105 Mbits/sec    0    197 KBytes       
[  4]  12.70-12.80  sec  1.25 MBytes   105 Mbits/sec    0    202 KBytes       
[  4]  12.80-12.90  sec  1.25 MBytes   105 Mbits/sec    0    209 KBytes       
[  4]  12.90-13.00  sec  2.50 MBytes   210 Mbits/sec    0    214 KBytes       
[  4]  13.00-13.10  sec  1.25 MBytes   105 Mbits/sec    0    221 KBytes       
[  4]  13.10-13.20  sec  1.25 MBytes   105 Mbits/sec    0    226 KBytes       
[  4]  13.20-13.30  sec  2.50 MBytes   210 Mbits/sec    0    232 KBytes       
[  4]  13.30-13.40  sec  1.25 MBytes   105 Mbits/sec    0    238 KBytes       
[  4]  13.40-13.50  sec  1.25 MBytes   105 Mbits/sec    4    170 KBytes       
[  4]  13.50-13.60  sec  1.25 MBytes   105 Mbits/sec    0    175 KBytes       
[  4]  13.60-13.70  sec  2.50 MBytes   209 Mbits/sec    0    181 KBytes       
[  4]  13.70-13.80  sec  1.25 MBytes   105 Mbits/sec    0    187 KBytes       
[  4]  13.80-13.90  sec  1.25 MBytes   105 Mbits/sec    0    194 KBytes       
[  4]  13.90-14.00  sec  1.25 MBytes   105 Mbits/sec    0    199 KBytes       
[  4]  14.00-14.10  sec  1.25 MBytes   105 Mbits/sec    0    206 KBytes       
[  4]  14.10-14.20  sec  2.50 MBytes   210 Mbits/sec    0    211 KBytes       
[  4]  14.20-14.30  sec  1.25 MBytes   105 Mbits/sec    2    151 KBytes       
[  4]  14.30-14.40  sec  1.25 MBytes   105 Mbits/sec    0    156 KBytes       
[  4]  14.40-14.50  sec  1.25 MBytes   105 Mbits/sec    0    163 KBytes       
[  4]  14.50-14.60  sec  1.25 MBytes   105 Mbits/sec    0    168 KBytes       
[  4]  14.60-14.70  sec  1.25 MBytes   105 Mbits/sec    0    174 KBytes       
[  4]  14.70-14.80  sec  1.25 MBytes   105 Mbits/sec    0    181 KBytes       
[  4]  14.80-14.90  sec  1.25 MBytes   105 Mbits/sec    0    187 KBytes       
[  4]  14.90-15.00  sec  1.25 MBytes   105 Mbits/sec    0    192 KBytes       
[  4]  15.00-15.10  sec  2.50 MBytes   210 Mbits/sec    0    198 KBytes       
[  4]  15.10-15.20  sec  1.25 MBytes   105 Mbits/sec    0    204 KBytes       
[  4]  15.20-15.30  sec  1.25 MBytes   104 Mbits/sec    4    146 KBytes       
[  4]  15.30-15.40  sec  1.25 MBytes   105 Mbits/sec    0    151 KBytes       
[  4]  15.40-15.50  sec  1.25 MBytes   105 Mbits/sec    0    157 KBytes       
[  4]  15.50-15.60  sec  1.25 MBytes   105 Mbits/sec    0    163 KBytes       
[  4]  15.60-15.70  sec  1.25 MBytes   105 Mbits/sec    0    170 KBytes       
[  4]  15.70-15.80  sec  1.25 MBytes   105 Mbits/sec    0    174 KBytes       
[  4]  15.80-15.90  sec  1.25 MBytes   105 Mbits/sec    2    124 KBytes       
[  4]  15.90-16.00  sec  1.25 MBytes   105 Mbits/sec    0    130 KBytes       
[  4]  16.00-16.10  sec  1.25 MBytes   105 Mbits/sec    0    136 KBytes       
[  4]  16.10-16.20  sec  1.25 MBytes   105 Mbits/sec    0    143 KBytes       
[  4]  16.20-16.30  sec  1.25 MBytes   105 Mbits/sec    0    148 KBytes       
[  4]  16.30-16.40  sec  1.25 MBytes   105 Mbits/sec    0    154 KBytes       
[  4]  16.40-16.50  sec  1.25 MBytes   105 Mbits/sec    0    161 KBytes       
[  4]  16.50-16.60  sec  1.25 MBytes   105 Mbits/sec    0    167 KBytes       
[  4]  16.60-16.70  sec  1.25 MBytes   105 Mbits/sec    0    173 KBytes       
[  4]  16.70-16.80  sec  1.25 MBytes   105 Mbits/sec    0    180 KBytes       
[  4]  16.80-16.90  sec  1.25 MBytes   105 Mbits/sec    0    185 KBytes       
[  4]  16.90-17.00  sec  1.25 MBytes   104 Mbits/sec    0    191 KBytes       
[  4]  17.00-17.10  sec  1.25 MBytes   105 Mbits/sec    0    197 KBytes       
[  4]  17.10-17.20  sec  2.50 MBytes   209 Mbits/sec    0    202 KBytes       
[  4]  17.20-17.30  sec  1.25 MBytes   105 Mbits/sec    0    209 KBytes       
[  4]  17.30-17.40  sec  1.25 MBytes   105 Mbits/sec    0    215 KBytes       
[  4]  17.40-17.50  sec  1.25 MBytes   105 Mbits/sec    1    154 KBytes       
[  4]  17.50-17.60  sec  1.25 MBytes   105 Mbits/sec    0    160 KBytes       
[  4]  17.60-17.70  sec  1.25 MBytes   105 Mbits/sec    0    165 KBytes       
[  4]  17.70-17.80  sec  1.25 MBytes   105 Mbits/sec    0    171 KBytes       
[  4]  17.80-17.90  sec  1.25 MBytes   105 Mbits/sec    0    177 KBytes       
[  4]  17.90-18.00  sec  1.25 MBytes   105 Mbits/sec    0    184 KBytes       
[  4]  18.00-18.10  sec  2.50 MBytes   209 Mbits/sec    0    189 KBytes       
[  4]  18.10-18.20  sec  1.25 MBytes   105 Mbits/sec    0    195 KBytes       
[  4]  18.20-18.30  sec  1.25 MBytes   105 Mbits/sec    0    201 KBytes       
[  4]  18.30-18.40  sec  1.25 MBytes   105 Mbits/sec    0    208 KBytes       
[  4]  18.40-18.50  sec  2.50 MBytes   209 Mbits/sec    0    212 KBytes       
[  4]  18.50-18.60  sec  1.25 MBytes   105 Mbits/sec    0    219 KBytes       
[  4]  18.60-18.70  sec  1.25 MBytes   104 Mbits/sec    0    225 KBytes       
[  4]  18.70-18.80  sec  2.50 MBytes   211 Mbits/sec    0    230 KBytes       
[  4]  18.80-18.90  sec  1.25 MBytes   105 Mbits/sec    2    164 KBytes       
[  4]  18.90-19.00  sec  1.25 MBytes   105 Mbits/sec    0    170 KBytes       
[  4]  19.00-19.10  sec  1.25 MBytes   105 Mbits/sec    0    175 KBytes       
[  4]  19.10-19.20  sec  1.25 MBytes   105 Mbits/sec    0    182 KBytes       
[  4]  19.20-19.30  sec  1.25 MBytes   105 Mbits/sec    0    187 KBytes       
