@	1587470559	52	1
@	1587470560	141	2
@	1587470561	108	2
@	1587470562	134	1
@	1587470563	104	2
@	1587470564	141	2
@	1587470565	52	1
@	1587470566	10552	8
@	1587470567	16500	11
@	1587470568	34500	23
@	1587470569	67500	45
@	1587470570	125428	73
@	1587470571	256632	90
@	1587470572	523608	184
@	1587470573	1027820	357
@	1587470574	2005576	698
@	1587470575	3817916	1105
@	1587470576	7462004	1429
@	1587470577	14540064	3160
@	1587470578	29158092	7513
@	1587470579	53798512	13886
@	1587470580	60332124	10911
@	1587470581	60484080	13332
@	1587470582	43642920	11560
@	1587470583	53443128	9530
@	1587470584	59960652	11787
@	1587470585	47640408	11830
@	1587470586	49484612	12989
@	1587470587	58364324	15729
@	1587470588	58257108	15867
@	1587470589	57843880	15216
@	1587470590	60489148	16047
@	1587470591	60585868	15373
@	1587470592	51411108	14199
@	1587470593	32347152	8944
@	1587470594	58012956	15655
@	1587470595	58365073	15994
@	1587470596	48267400	14754
@	1587470598	53	1
@	1587470599	108	2
@	1587470600	252	1
@	1587470601	52	1
@	1587470602	157	3
